theta,t_count,h_count,s_count,w_count
4.4586357480388106,98,99,59,2
5.3551081251361827,98,99,45,2
3.7533582818579578,98,99,56,7
3.0323422659067876,98,99,49,2
4.6657442949662817,94,94,48,7
5.5655202749195247,100,100,47,5
5.6196747987262201,98,98,48,3
2.3996201279629927,98,99,57,6
5.8277958134074277,96,96,55,1
5.9126644494572762,98,98,54,5
0.3188094391351025,98,99,50,7
4.1346357067199389,100,100,55,5
3.5698841973908544,100,101,46,0
2.0937169712669519,96,96,48,2
4.8108970586336230,94,94,55,2
2.9337640873903128,100,101,45,5
1.3608596375555313,96,97,46,6
4.3737557544828842,98,99,51,4
3.3170957857429229,96,96,49,1
6.1898846841555208,94,94,59,0
5.8871636577618469,94,94,56,3
1.4936983746884451,100,101,46,2
2.6228104331340338,98,99,50,3
0.6484028278307432,96,96,49,7
6.1996552343993176,98,98,57,2
1.9022992483772110,98,98,46,3
0.3621431551686482,100,101,48,6
5.6971694894355300,94,95,58,3
3.6291053476020565,96,96,46,0
1.0129216980500115,96,97,55,1
2.9081226010432233,98,98,53,6
5.0772286037562218,98,99,54,1
4.5766633914955657,98,99,49,6
5.3680224109999886,96,96,47,7
2.9505641164078242,96,96,56,0
3.8279242150306860,96,97,50,4
0.6607219646518678,96,97,47,3
4.5294861427537034,100,101,57,5
5.1719090491225677,98,98,48,5
2.7233464257998352,98,99,52,7
4.6762120295934748,94,95,52,7
4.8658893013552706,100,100,51,7
0.5994369388969587,98,99,54,7
1.9458349343073833,98,99,49,4
3.6976710438134313,100,100,56,6
0.2908730301327611,98,98,47,0
3.2741113911990798,98,99,54,5
4.4554899303413658,96,96,51,1
3.6537305115710219,98,99,58,1
4.8105268403731500,98,98,59,6
3.6730843012915098,96,97,44,6
3.8424155034204253,100,101,53,3
2.4128742938427807,96,97,43,5
5.2696289605699329,98,99,55,2
1.2178285518038079,98,99,52,7
1.8048990797478535,98,99,46,3
0.4206222521332539,94,95,50,7
5.3222356863388409,94,95,41,0
1.0981039578286056,98,99,55,0
5.9332888995571533,96,97,61,7
4.7556162951564973,98,99,51,4
3.1760297446116463,92,92,47,7
1.8930706075287165,98,98,61,2
1.0077852691229274,92,92,54,4
4.0546462096121187,94,95,46,3
4.7224421129961769,98,99,55,0
0.1255548329173405,98,99,45,4
4.1716332869631474,96,97,54,0
5.3602329053673454,98,99,52,3
2.1594988430129396,96,97,43,1
5.1992478233017403,96,97,43,7
4.9169198844099506,98,99,49,0
3.9014454185811815,98,99,56,7
3.8255216085379025,98,98,51,0
3.3557493528857032,96,97,45,3
4.7556106861987519,104,105,57,1
4.2763746398241791,98,99,52,3
4.4739858916759712,96,97,58,4
5.7214368982617900,100,101,50,2
3.0230170332079465,100,101,48,2
0.4761770033933124,98,99,58,1
4.8492565573928044,96,97,47,3
4.6588517312920672,98,98,49,6
