theta,t_count,h_count,s_count,w_count
0.4595348541812230,98,98,47,6
1.3444085324743804,98,98,54,1
3.7848108920309125,98,99,57,6
5.1342271785925480,96,96,51,1
1.6619212523047553,94,95,56,7
4.7373614495803213,94,95,51,0
3.6881358946475831,98,98,49,2
3.0896323187428294,96,96,48,0
6.1622336984584329,96,97,58,6
1.5261977536437694,96,97,53,1
2.7127398897697272,92,93,46,0
4.6457676394227887,92,92,49,1
1.7908686732463168,92,93,52,6
2.6906199927859427,98,99,53,0
2.7418244076564462,96,97,45,1
0.3532746851249721,96,97,48,0
1.0393106889986274,96,97,51,5
3.8499541489007090,96,97,46,2
5.4966183471789050,96,97,62,4
0.2487763878470315,96,97,47,7
3.3407041832947133,96,96,53,1
1.1617246630334133,98,98,40,5
5.9166478882791527,98,99,50,1
5.4931061522311095,92,92,55,5
0.4612117892004414,96,97,49,7
0.4504709323174272,94,94,50,1
0.3786393710607735,98,99,52,3
0.7400636890062692,96,97,63,5
4.1975135322414294,86,87,50,5
4.5464765736669168,94,95,53,2
1.8065593916619436,94,94,44,3
1.5158154724010979,96,97,48,4
0.5184501997524703,94,95,49,6
5.3206797768181948,96,97,58,0
4.7954225087549034,96,97,44,0
5.2226463393516394,98,99,58,3
5.2911567342213113,96,97,57,7
4.5455902963549972,98,98,45,6
2.2350900590452203,96,97,51,1
3.5922338049541032,94,95,53,2
1.0708108858688714,96,97,57,7
1.8567589566040230,96,97,47,3
1.0766359629664479,98,99,45,6
1.8915571831451736,94,95,47,0
0.6764841319265358,96,96,42,6
4.1754151153102788,96,96,48,6
3.6124735133163761,98,99,62,1
0.3173979148873522,96,97,44,0
3.6542031431777522,98,99,54,3
0.5501171094740195,92,92,50,2
0.5166943657146111,94,95,49,0
4.1359269473875351,88,89,60,4
0.3561666225122099,94,95,48,1
3.4143193813688728,98,99,53,2
4.7097743982298459,94,95,46,7
1.6788541478239412,94,95,57,0
4.5076640009732305,96,97,45,1
0.3381633351259410,86,87,43,2
1.7521867762567360,94,95,48,1
2.8477339916917237,98,99,61,4
1.0724371043426362,96,97,55,7
3.8300821079814447,96,97,48,4
3.9466474084676508,96,97,54,0
5.5152868338693635,98,99,57,2
4.7391752871788553,98,99,48,7
5.7407819699743312,98,99,55,0
0.1562486382996147,98,98,43,6
2.8191635806310562,96,96,48,2
0.0466353687327510,96,97,53,5
4.4744932868727947,98,99,55,0
5.0074512242799738,96,97,53,3
3.8099075145453019,96,97,51,5
2.3708123009530286,94,94,49,6
6.2506095157356114,96,97,43,7
4.0158891875892442,96,97,45,1
5.5370110989865120,98,99,50,1
6.0985274638228004,98,99,51,2
2.5423405307440783,96,96,46,0
3.5415581318499436,98,99,53,0
2.1818695037098745,94,94,51,2
2.4033406937226944,94,94,48,1
5.6807666082161088,98,99,49,0
2.7127858508800142,96,97,47,3
4.8405714831714004,94,95,47,4
2.4638245998988415,90,91,53,4
5.4861807864407677,98,99,57,0
5.3146133183643363,96,97,56,6
1.5642399460080998,98,99,53,6
5.2026506962337340,96,97,48,2
1.1917999423574042,98,98,51,2
5.2395858920720135,98,99,47,2
4.3202586471983819,94,94,48,3
5.7736893893188652,96,96,44,0
4.3218496212610402,96,96,45,7
2.9819206274354895,92,92,50,6
2.5676773259422641,94,95,45,2
3.7786295635083320,98,99,52,7
2.6793318568083100,96,97,45,7
6.0919614196136846,94,95,45,0
2.0570214799116036,98,98,50,7
3.3170852224640583,100,101,59,3
0.0516917332112941,94,95,56,3
4.2737797882476194,94,94,49,6
1.2294441461451677,96,97,52,2
4.8301508770631916,96,97,54,4
1.1619505612393857,94,95,50,5
2.5093959717441754,94,94,42,7
6.1794207254509432,98,99,60,5
0.4842051625007728,96,97,49,5
4.9964136250916411,96,97,48,6
6.0343419290654348,96,97,46,2
5.4169245173494120,96,97,54,0
5.4730599009609620,94,94,46,5
1.4858020012375772,94,95,52,1
3.3476591434789258,96,97,53,1
2.8515586386122345,96,97,55,1
5.6155158817981956,98,99,63,0
1.5905549771594658,96,96,50,6
3.9648094757403434,94,94,48,3
2.3308819759068435,94,95,48,7
1.3146123637756044,98,98,45,6
0.9089990502285261,96,96,50,4
4.7537505460694458,96,97,49,3
0.5581440206850693,98,98,50,3
6.2213206672321242,98,99,50,1
1.7505390477510665,98,99,49,2
2.6602883158299462,94,94,49,6
2.5977179349603339,94,94,50,7
4.9390865625972982,92,93,58,4
1.5789167248958624,94,94,48,7
5.9369535276311600,96,96,52,2
0.5601777541792969,96,96,46,4
0.5807590810839990,96,96,50,2
3.7089750315855898,96,97,40,2
1.7595933089461990,98,99,56,3
0.1079128863060819,96,96,40,4
4.7932524743001066,96,96,53,5
1.8982025747350615,94,95,56,5
5.0143695096124246,96,96,44,0
0.6157185077450745,98,99,42,1
5.5602622936121202,96,97,46,0
2.7317655706643755,96,96,47,5
3.3680715569048596,94,95,60,7
5.5402369781351171,94,94,50,7
3.8053324779659738,94,94,40,1
1.6247347897120543,98,98,47,0
5.2927978061232048,96,97,51,7
1.5451207475083140,96,97,59,5
