theta,t_count,h_count,s_count,w_count
5.9867791386825475,90,91,47,0
1.3789283514576463,92,93,47,1
0.3571552080205663,100,101,49,3
2.8842047014353605,100,100,49,3
0.3563707861599030,98,98,57,4
3.4728906723586146,98,99,47,6
4.8759364067832589,98,98,50,1
2.7472627092784943,100,101,51,1
2.5139219095041287,98,98,51,2
0.3667472903153551,100,101,51,7
5.3940214726951590,98,99,58,3
0.5005894430467960,96,97,48,0
3.2836496108500439,98,99,57,2
5.6702199908363422,100,101,45,3
5.3669583911032976,96,97,51,1
0.2778353482523738,98,99,50,7
4.6747036611658839,98,99,46,7
4.2650193173590258,98,99,45,0
2.7479542578196270,92,92,49,5
1.6988102640324996,98,99,60,5
4.7944493923161717,98,99,56,3
0.1461742231232440,96,97,54,0
3.6899104787547690,96,97,47,5
1.2570900142256147,94,95,57,6
1.5055264661141532,100,101,54,0
3.1531600870555985,98,99,58,1
1.5509219536495444,98,99,45,2
3.3931421982899428,94,94,46,3
0.9162187736733388,98,99,56,5
3.0144588646308823,98,99,55,6
5.1101295227956172,96,97,53,3
4.8354896556095888,98,98,44,5
0.7701540082808354,96,97,59,1
5.2358705963505630,98,98,41,0
4.1337935750762291,98,98,48,5
4.0580118110212009,96,97,53,7
4.8298915291658959,94,95,47,6
1.9966266470729597,98,99,49,4
1.8859275455779028,98,99,55,2
0.2550780969648535,96,96,42,2
2.9380780180311685,100,101,52,2
0.9196725100657690,94,95,52,7
0.6986115597087325,96,97,42,4
2.8230436302128634,98,99,57,6
0.1880460936516835,98,99,59,6
0.5230022020555598,98,99,55,0
4.6318366682064278,96,97,50,2
0.4882705560998700,98,98,53,0
3.3836819431203491,96,97,46,4
2.6742404120150298,100,101,47,1
3.8497931786749717,96,96,60,0
2.6196931174937048,96,96,54,4
2.9206707076592302,100,101,59,5
5.4092351500298550,96,96,53,3
2.0145522169896268,98,99,51,6
4.9021610475068593,96,97,38,4
3.9873367544529690,94,95,54,7
4.8255610321068163,96,96,59,3
2.5949096439086152,96,97,46,0
2.0833990314094208,96,97,50,4
0.5789082044772060,100,101,55,7
3.7947332392200193,96,97,45,7
0.9246832867608437,100,101,48,0
4.5455518775742201,98,99,51,0
4.8845687284826589,96,97,58,2
3.2563705185294221,98,98,53,2
1.0120558836224183,100,101,53,5
5.2950923575566735,98,99,56,7
3.6860124213850747,92,92,37,7
5.2906577221843847,98,99,44,7
2.5434292969908232,98,99,53,4
1.6294234707654494,100,101,53,5
4.2283436078189327,98,99,52,7
0.6185847922637422,98,99,50,7
3.9080435660237569,100,101,58,4
0.4577956262138785,96,97,47,1
4.4003787637022898,98,99,47,2
1.6769346773230405,94,95,46,3
5.0258449381355721,98,99,43,6
3.4030179208495306,98,99,52,1
6.2240639911572204,100,101,42,2
2.6139684589358980,100,101,48,2
3.5742930758404885,100,100,54,6
4.5917248017378505,96,97,46,6
0.9062363247936424,98,99,53,0
0.3318450176636377,98,99,46,3
5.7512469811468607,100,100,56,0
5.2060368513324056,98,99,43,0
2.8086023596522613,100,101,55,3
1.8931286388862381,96,97,46,6
2.3281604528417001,98,99,40,7
4.9632867726611254,100,101,51,1
1.5382212921185781,96,97,45,7
1.5445110015010224,98,99,48,7
5.9762718954323173,96,97,49,7
3.7891482005489716,98,99,50,7
3.9301384444825538,96,97,44,0
3.9432072921262113,98,99,58,5
1.3951272757266584,98,99,38,3
4.0566960280007542,98,98,37,0
4.3820281664655338,98,99,53,2
0.7976544785383561,96,96,33,3
1.8074600581090208,100,101,48,6
4.3296212804246634,98,99,57,2
4.4663591823440516,98,99,60,3
5.1122913571299717,100,100,54,0
4.5998523473498913,96,97,52,4
1.8050993501477466,100,101,52,0
1.8098962874292142,98,98,51,6
5.6660674919260705,98,99,56,5
6.0776651481285073,98,99,53,4
2.8913567137800786,98,98,52,3
5.4203806257921290,98,99,52,1
2.0225642299369930,98,99,48,3
1.3873934841992246,100,100,66,0
4.7268036303835936,98,98,50,1
0.1450938714114329,98,99,52,1
3.9211603438833786,94,94,55,6
0.2500150723996492,96,97,49,1
3.7909408394399495,98,99,58,1
3.6386644097534693,98,98,54,3
1.0815767863230243,100,101,39,7
1.0701173497496568,96,96,37,1
4.6201987958939190,98,99,50,3
3.6762117179840703,94,95,47,4
5.5150575183347481,96,96,43,5
2.5588096852724713,96,96,48,4
3.5810056695012418,98,99,59,0
0.8452692598844675,100,100,51,1
2.5965658302068171,98,99,59,4
5.5366438254788175,96,96,52,2
5.7302528668346850,98,98,50,7
1.1079832636118505,96,96,52,4
1.2337320637845715,96,96,46,0
4.0416368037318913,104,105,58,2
2.5409940971678502,100,101,56,2
4.7077986831152314,100,101,47,3
4.1391278938205591,94,94,49,4
0.0704744868636563,98,99,46,1
2.0420133316580249,98,99,50,5
1.9117673080783941,96,97,53,7
6.0624578239967599,100,101,57,1
3.8050518728596097,96,97,52,2
3.9838628972728598,98,98,47,2
1.5913306249716950,100,100,51,3
2.0367819959379889,98,98,49,0
3.3113806617045212,100,100,48,4
3.3774371246840436,98,98,56,7
5.2520866263147994,98,99,59,4
3.0409384584223753,98,99,56,7
4.0975477953661468,98,98,57,4
5.8200687920077483,96,96,45,1
1.0748392061491556,98,98,50,3
4.9754417233924730,94,94,55,0
4.3212165039057879,100,100,53,1
0.9981573503214018,98,99,52,5
5.7765845440457060,98,99,41,4
2.0155555249106025,96,96,45,7
0.9971384996409621,98,98,48,7
2.1847633906681976,96,97,51,5
1.5420065267407796,98,99,40,5
1.4759922417513298,100,100,51,7
4.2630878634816973,96,97,55,1
0.2170688961259817,98,99,52,5
3.3349339202965660,94,95,44,5
1.7439414037372953,96,97,52,2
5.0303172750649718,98,99,48,3
1.5585528675733042,96,97,53,7
2.9961335513924952,96,97,54,2
1.9191061907816271,98,99,49,6
1.3741450248303737,98,98,43,6
4.7165517115266598,98,98,41,4
2.8511141686116286,98,98,42,5
5.3674440146358240,96,96,53,1
4.8266464921987859,100,100,53,7
1.3889509856685920,98,99,53,6
3.8514766933743085,98,99,44,3
4.3600659329810796,96,96,50,6
4.2642742672794300,94,95,52,3
1.7215775797467117,98,99,50,5
1.5836931014178812,98,99,51,6
1.1416123359259525,94,94,54,7
3.3865967456353743,96,96,51,3
2.6616402294377632,98,98,44,1
4.1409308715888393,96,97,47,7
6.1445565215625342,98,99,65,2
3.1828848571721498,98,99,60,7
2.3207956716457288,98,99,47,0
0.6561787911847728,100,100,43,7
3.3003385751445697,98,99,41,0
0.9377950559547950,98,99,51,2
4.0763707524595922,96,96,42,6
5.4812250693554114,98,98,55,0
5.9014903645219645,98,98,50,5
6.2257870991285920,98,98,53,2
1.7000400204516490,100,101,52,4
3.3286260769978275,98,99,49,2
1.7984528933842183,98,99,58,5
1.7960721718361659,98,99,48,7
3.1201998411635734,96,97,50,4
3.3915726926887837,98,99,53,6
5.6322374466112333,98,99,48,7
4.5427882299997719,98,98,52,3
4.0796266404997565,96,96,54,6
1.8588398509013908,98,99,47,2
3.1212692682460652,92,92,53,7
1.8918106811985982,100,101,41,7
5.3492075899847737,98,98,48,1
5.8605802767031818,100,100,48,4
4.4514123820777751,98,99,53,4
1.9034373976136771,98,99,48,7
0.1220253667729839,98,99,51,2
1.4282318728784826,94,94,50,5
0.3025905477062649,100,101,53,5
3.3199079541625984,98,99,57,6
