theta,t_count,h_count,s_count,w_count
3.7929714904050851,96,96,54,6
5.7279231792647556,92,93,44,0
2.8255193885193428,100,100,51,3
3.1563852424737866,98,99,55,4
1.0334638663715736,98,99,51,0
4.0412375059003791,98,99,43,2
5.1134080394197134,100,100,40,2
3.2128267906209205,94,94,53,0
1.5382699081110449,100,101,54,4
5.1111515059905628,100,101,51,1
0.8532584106453648,98,98,54,1
0.6499212333219206,96,96,50,0
2.6410001205459319,100,101,48,2
1.4191013508281691,98,99,43,0
1.8080796416317519,98,98,54,3
1.9651873311362011,100,101,54,0
1.9888823889558542,94,94,40,5
2.7613845017983625,98,99,43,6
0.5712389779941377,96,97,51,7
3.0970676292017441,98,98,50,7
5.1073206130832194,98,99,55,0
0.8887004082372173,98,98,47,0
1.6199395516051169,98,99,46,3
6.0688603869307114,98,98,46,7
4.9591680106709557,96,97,58,4
2.7465089838452701,100,101,53,7
1.3297883449164247,98,98,60,5
5.5265765754335670,96,96,50,4
5.3860125026195975,96,97,52,6
5.3710967845705770,100,101,52,6
1.4072887800671399,102,103,43,0
6.1030432617123829,98,99,50,3
2.9931555706649875,94,95,43,2
4.8925374553657912,100,100,46,4
4.6330508320804862,98,99,52,3
5.9684365188238946,100,101,52,2
1.0179751438096352,94,95,42,3
3.2047338265992629,96,96,49,3
3.4036797824999638,94,95,47,4
1.7023510926138645,100,101,49,5
5.5884285378284488,96,97,52,2
1.9359484653452743,96,96,50,2
1.2610660706624457,98,99,47,0
3.6374086275184507,100,100,50,2
4.2714845646625044,98,99,49,6
5.4921867366476027,98,98,50,7
3.5976268249960648,96,97,57,5
5.3293358835758564,98,99,52,5
4.8701973310766791,98,98,55,4
0.3876434503827654,100,101,46,0
4.5967662353152505,100,100,50,6
5.8787875297447192,98,99,42,7
6.1135169868602697,96,97,54,2
4.9176526844932962,100,101,55,5
0.2580630811386844,100,101,55,5
5.4458778509111241,92,93,42,0
5.3552730421989381,98,99,54,5
3.9339075613105723,94,95,53,6
5.4038353767813323,100,100,47,7
3.7353401167959417,98,98,56,7
1.5759598086491748,100,101,59,5
3.5879625472914922,104,104,46,0
5.3844829684292419,98,99,44,3
1.1555350577144403,98,99,53,4
4.5965054534482599,98,98,53,0
0.7912367201276337,98,99,61,0
6.1509097837784203,98,98,44,7
5.5980415494357576,100,100,44,6
1.4008943674654362,94,95,43,6
6.1662436226740587,98,99,56,7
1.8758507849151460,100,100,45,1
5.9018998016205604,100,101,56,4
4.0953195074092736,98,99,50,3
2.4575834802108676,92,92,46,2
3.9932148849915441,100,101,56,0
5.1144884207056158,100,100,53,5
5.0890750601853254,96,97,60,2
4.5394510589074253,100,101,51,7
0.1663010714756294,102,102,49,0
3.4495917677535295,96,97,42,6
3.3955939842149636,98,99,48,1
2.9003473677278753,100,100,56,6
1.3113564818207517,98,98,58,7
0.6686167975589761,98,98,50,1
0.8705703884464366,98,98,44,7
3.5505187767837088,90,90,40,1
3.6076837215370561,98,98,47,6
2.2463171836160516,98,99,58,5
2.8581192357726692,100,100,64,6
1.8767932913190626,100,100,59,5
3.4881332995971510,98,99,48,5
2.2809778843193351,96,96,51,1
5.1830021295286155,100,101,56,0
6.0384794956944381,98,99,56,7
2.3718911954059863,100,101,56,6
3.0392179563054555,98,99,49,4
0.0351448694098568,100,100,53,1
4.8846107905113083,98,98,51,0
3.7884779229985592,98,99,53,2
1.6386616528018860,98,98,51,6
6.0186505200324660,100,101,52,0
0.6297874544365079,96,96,51,7
4.8689385836167069,96,97,60,4
2.9264978828466721,98,99,48,5
6.1158290555374348,94,94,50,5
4.5836670487774143,96,97,44,0
4.6508943131787532,100,101,54,2
1.9087926738670826,98,99,55,4
2.8129244880414794,98,99,45,0
4.5384946920459219,96,97,42,2
1.4305004546907796,100,101,53,3
1.2071385752809609,98,98,43,2
2.0513134416931638,100,100,54,6
6.2367308837128679,96,97,46,0
5.9189053065789334,98,98,50,3
0.5837750282721954,98,98,50,3
4.0447177030149088,98,98,50,1
5.6234110404748749,98,99,53,4
5.0955302293016720,96,97,53,5
4.2994053545043087,100,100,55,5
5.2290330698095788,100,101,48,6
4.7010308560320961,100,101,47,1
0.4685070189790637,100,100,52,0
3.9866178188180821,98,99,48,7
2.9738780281800858,100,100,43,1
4.7432107419987268,98,98,54,5
3.7887630831192478,96,96,46,2
1.9485275089006833,98,98,46,7
1.1067164434516237,100,101,52,6
1.6341321883608451,98,99,47,6
2.7082933819508415,98,99,54,7
6.1089394827646073,100,101,63,5
3.2486381932741599,98,99,48,7
0.9619482182837564,98,99,48,7
2.4264755657197759,98,99,48,1
3.1120309349099391,100,101,47,3
0.6171393025538616,100,101,47,1
1.0436444660231079,100,101,49,1
1.0414985706124413,100,101,51,1
0.9103319333802863,100,100,46,4
0.7044691837162025,98,99,59,0
2.7615515754486140,98,99,54,3
2.1957431360199635,100,100,54,4
2.9250200350365199,100,101,60,4
1.7225885338642972,100,100,55,7
1.9398858501969711,100,100,49,1
0.2987656543420324,98,99,46,5
3.0201695302242717,98,98,49,2
