theta,t_count,h_count,s_count,w_count
1.4061567924025498,94,95,46,7
4.5466938434958131,84,85,49,5
1.1447697110588546,94,94,47,0
3.4244124892360266,94,94,56,3
3.9548210651377209,96,96,57,7
2.5425917212813531,94,94,53,4
2.0217774968559579,94,94,49,2
2.6928195674372755,88,88,41,5
5.2192289016149900,94,95,62,1
5.0913597452226718,94,95,49,6
2.6714835910540389,94,94,48,7
0.6821805384826808,92,93,48,4
0.6105323824954763,96,97,45,1
2.8450759514694446,92,93,57,7
5.6468442508578169,96,96,50,2
2.9374900795072119,94,94,51,4
5.4407876471459442,94,94,50,3
0.1575104084364597,88,88,44,0
0.1399308670074685,92,93,56,2
3.8637973296276478,96,96,46,0
1.6577974349253550,94,95,54,7
3.6004687086309954,94,94,53,2
3.8298845561785799,94,95,49,4
2.0041031393640640,94,94,58,1
3.1675026211122024,88,88,47,1
5.6185299443942762,92,93,49,5
5.8087492590811429,92,93,46,0
3.9793661043681796,94,94,52,5
3.0898768423440663,94,94,52,3
4.8654968741559230,92,92,41,7
4.4440246345783878,98,99,47,2
0.9955544823485392,94,95,50,3
1.0519699452223701,94,94,55,4
5.7714300830239047,94,95,45,0
2.8028619525584948,92,92,49,5
6.1712910858881669,94,94,55,6
1.2277537044289746,92,93,46,0
4.0043845521332679,94,94,44,7
0.5538031141265566,96,97,53,3
1.8263492798516550,94,94,51,2
5.4550859063917763,94,95,45,2
0.4741110318783643,92,93,49,3
6.0810689821802759,94,94,57,2
4.3117422315121594,94,94,39,4
4.3233503613483064,94,94,48,5
4.1572600597953286,94,95,56,1
5.0617167271253036,86,87,40,1
4.2383920295942294,94,95,49,0
0.3519132221031306,90,91,45,0
3.7592183035424265,94,95,50,5
2.9607198278519502,96,96,49,7
0.9341616113957018,94,95,43,6
2.5319357332305450,94,95,45,0
3.4589992367794089,94,94,54,3
2.1858747974548796,94,95,56,7
1.2660924623836507,92,92,54,4
4.7306234146254527,84,85,41,1
4.6798239909954127,92,93,50,0
5.8487213452001532,94,95,49,6
5.9673249527422207,94,95,49,4
1.1246318886624198,90,91,37,0
0.7660895254756941,92,92,51,3
5.5105595988017821,96,96,58,2
1.1020131268716833,92,93,39,5
5.2031910609904104,92,93,52,6
3.6619852054798097,92,93,44,6
5.0975950307191056,92,93,49,3
2.9522268774415510,92,92,57,3
5.6180845925977350,94,95,44,1
3.9943419783450276,92,93,47,7
0.4996304176733407,90,91,51,4
0.2449965873834578,94,95,49,6
3.3884955930467600,96,97,50,0
0.0966162043971648,94,94,46,3
