theta,t_count,h_count,s_count,w_count
3.8551163445043146,86,87,46,7
1.4203914714543575,84,85,44,0
1.9700654099682509,86,87,48,3
0.2118381059033019,88,89,42,2
4.4307779841160526,88,89,48,2
4.1410828139540374,86,87,48,7
2.9386528712490239,84,84,45,3
1.5123327219470017,82,83,46,3
1.2999035211434724,88,88,42,4
4.5803104801940355,88,89,50,6
1.1021802567206918,88,89,41,3
3.7591781193162825,90,91,49,2
3.1790218884904067,88,89,45,1
1.0853047329239247,88,89,42,6
4.9563318995761163,84,85,54,2
0.7477238620578319,84,85,38,2
0.2717743506571748,90,90,42,7
0.3318412138501601,88,88,43,1
3.7943359882174983,84,85,54,6
1.3139860838726949,90,91,54,5
6.0688123301139143,88,88,46,0
3.1241209004580055,88,89,57,7
5.0513719440859690,86,87,42,5
1.0979849426446131,88,88,52,4
1.1456843595271911,88,88,45,1
4.5210469090571932,84,85,42,4
3.4207871162638437,88,89,37,1
3.2592867682726010,88,89,38,2
5.8076581253637665,86,87,54,7
6.1998025390941516,88,88,51,3
3.3565237531029064,88,88,44,4
0.1832741886185826,84,84,45,1
4.8867497123140238,86,87,48,3
1.8513807661283741,84,85,44,2
3.8283374540074444,88,89,48,4
2.9066183018702669,86,86,51,2
6.0320676969682223,88,89,43,1
0.3587396069322808,88,89,45,1
2.0001864993407135,86,87,39,4
3.8905139530274346,86,87,46,5
6.0588340981401680,88,89,46,6
5.2950319853962480,86,86,34,7
3.9190142427501802,88,89,53,1
5.8543175164143451,88,88,51,7
5.8059303468790375,84,85,35,3
6.2766521697716904,86,87,45,6
1.9144874501521918,88,89,48,0
0.5366336117558516,86,87,45,6
1.6052412120993489,88,88,47,3
4.3865417787002876,86,87,50,3
4.1498484548336689,84,84,39,3
1.9937848530979816,88,89,49,1
1.7516604267804337,88,89,47,7
5.1121854437985617,88,89,43,1
4.2049106995630812,84,85,45,5
2.5528508817061613,88,89,51,1
4.8846453811310289,86,87,39,0
1.4896351125606859,88,89,55,5
4.3944765826481831,86,86,51,0
5.4215615931245900,88,88,39,3
5.0678462620514049,88,88,40,6
2.3312810530194219,86,87,43,2
5.8197670271103004,86,86,55,2
3.2117407308459924,84,85,38,4
3.0401701425934369,86,87,47,4
2.9044826811901596,86,87,38,5
1.0520118430861007,88,89,42,6
5.0184716815730948,90,91,51,4
1.9305060369731231,88,88,46,6
4.9864236159374471,88,88,47,1
1.0592698447094053,86,86,46,1
1.5929704615896925,88,88,46,0
3.0704809897266276,86,86,45,0
4.2111454846942733,86,87,51,6
5.8078862026372455,86,87,48,5
5.5037053305489518,88,88,43,3
3.6444290746735311,88,89,35,3
4.6443039792364607,88,89,54,0
2.1512163941652358,90,91,48,1
1.0872246410278035,82,83,41,4
5.4873887325068900,86,87,42,1
4.6048064974040361,86,86,41,0
1.2229054908753454,90,91,43,2
0.9240309175440018,86,86,44,7
4.6169813440045697,88,88,47,5
2.6745819506116026,86,86,50,7
4.7754958101406926,88,89,48,6
0.1119243196755010,88,88,45,3
3.4193630820730467,88,89,46,6
4.2037374637729750,88,89,57,7
4.5624211857185530,88,89,51,3
2.7024621288337194,88,88,49,1
5.5690562523517206,88,89,53,5
2.2750496480400240,88,88,37,5
4.7462348592342156,88,89,41,7
1.0301323843401053,88,89,53,7
1.0416314864261640,88,88,42,6
5.7516472748967971,86,87,34,7
2.5449126421690211,84,85,49,7
2.7467061767250223,90,91,55,2
2.4536100544057953,86,87,38,1
3.0497742328397410,82,82,44,5
6.2375843704586016,86,86,55,2
5.0972954567193955,86,87,40,3
4.4301613399373476,88,88,39,5
4.8556565452762417,88,89,46,6
2.4244464495870126,86,87,41,0
2.6864168620235960,86,86,38,7
0.2556715062603002,84,84,50,0
1.0112012258737313,90,91,49,4
2.7685670054450999,86,87,53,6
0.4451712417580099,88,89,50,6
1.3681099665492058,90,91,51,2
1.3839949479704625,88,89,42,0
4.2045694065055077,86,87,49,6
3.4588834212793387,86,87,46,7
2.9287564473433640,90,90,44,1
3.1521905628159415,86,86,47,6
4.6144461105998369,88,88,46,4
2.8826709224469576,86,87,46,1
6.1344824524054520,86,87,46,1
4.5370995171109518,88,89,54,6
4.6575381893002401,88,88,51,1
4.2309296529989009,86,87,47,2
3.5777144875962890,90,91,48,5
4.1680878480356061,82,83,41,2
1.9940811109917509,88,88,43,1
4.9551821285358821,88,88,39,5
4.6455729337077569,88,89,45,1
