theta,t_count,h_count,s_count,w_count
2.0315048369809610,96,96,57,3
3.5295618312002408,88,88,44,6
4.1326432445330328,94,95,47,4
0.9541602481608272,96,96,45,5
4.6753998399735650,88,89,49,5
4.0564129495536374,94,95,50,3
5.7066785682873142,94,94,44,1
4.6871399510192928,96,97,47,5
3.9043769496164784,96,97,50,6
2.8950295852821601,94,94,49,4
2.5260066670513903,94,95,43,6
5.1585396376156964,96,97,47,7
1.7541741533556623,94,95,53,6
3.9341411291788697,94,94,49,2
0.3195806580644128,96,97,42,0
0.9911830633956735,90,91,52,5
4.2438916981738490,96,96,48,0
3.6519155266520955,92,93,52,4
1.2021545463349990,92,93,46,4
4.0759877066684718,94,95,53,4
2.9185129467566786,100,101,42,6
4.9698244770574638,96,97,61,3
4.6096696483957791,92,93,43,1
6.0187664300843702,92,92,39,7
5.4128885362745649,86,86,50,1
1.1131510576366324,94,95,50,5
6.1290979982968476,90,91,46,1
1.5428116976800765,96,96,54,2
4.5446884627173940,92,93,49,7
5.6418862732390380,94,95,46,7
5.2372722513107473,96,96,50,6
5.7608240417581129,94,94,48,1
4.5988402644628215,94,94,59,4
3.6001417343947413,96,96,51,3
5.4839869018317184,94,95,54,5
0.6080236391797099,96,97,48,6
3.9618068517704419,94,94,45,0
0.3550639876076217,92,92,62,2
1.2539600754491624,94,94,45,6
3.6899624881630189,96,97,43,3
3.3438418228603588,98,98,50,3
2.4891530791349203,94,94,48,7
2.1883992370082681,96,97,46,2
0.0947111259517271,94,95,40,5
3.3368477675605859,92,93,44,0
4.7785232954867007,90,91,52,3
1.9278620155027124,96,97,50,2
4.4761134417696704,94,94,50,5
1.3080101036561540,96,97,49,1
0.8813440558068588,94,95,44,3
0.5183681330526509,92,93,49,5
0.2264799011027486,96,97,46,6
0.0756339902263628,98,98,51,4
2.2506837901744459,94,94,49,6
4.4606333795242623,96,97,44,2
3.6047568994684838,94,95,45,0
4.3511766377046222,94,95,45,0
2.7036348505905843,92,93,57,1
3.6615630176499656,92,92,46,6
3.6864710311036362,92,93,48,6
2.5196423449998280,94,94,48,7
1.4075955632431085,96,97,54,2
5.9196257685706826,94,95,45,6
5.3910240984484350,92,92,46,6
4.8741204007323402,96,96,55,7
4.3447036197301685,94,95,51,0
5.7919244492520354,94,94,45,2
4.5550220421269243,96,97,53,1
2.0582906354451533,94,95,51,4
0.4407957956458134,94,94,55,0
4.9700806526139738,96,97,58,0
3.4594359249071980,94,95,53,6
2.5594778586611682,90,91,40,7
1.8532720116807775,94,95,46,1
6.0174350146477371,96,96,54,4
0.4536165315601038,94,95,48,1
5.0649457283719119,94,95,52,5
5.6051644687771809,94,95,55,4
3.2291904361932393,94,95,50,5
1.2604438690670872,94,94,57,6
5.4885909140693521,94,94,41,2
1.4773262064283772,94,95,51,0
5.2563024271831669,94,95,51,6
2.5140452984612707,94,94,58,5
4.8366324342502525,94,94,46,5
1.4321873371525702,96,97,38,4
3.8707085425079577,94,94,44,3
5.5969704659844588,96,97,46,4
1.1380270867029021,90,91,50,3
1.3247168985339475,94,95,47,4
5.5246867863612543,94,95,53,4
0.1103651751812526,92,93,54,4
4.8489543372921622,96,97,53,1
4.0599253240423572,94,95,54,1
0.8332666204382119,94,95,40,7
4.9336654431725808,94,94,48,3
2.5294147899031985,94,94,52,7
5.0377865294477528,94,95,45,4
0.4225521797931872,94,94,56,1
2.9254651969197427,96,97,47,5
3.9221262075437138,96,97,44,2
4.9200854521042539,94,95,50,3
2.1744597005783657,94,95,62,3
0.8627280074135862,96,96,56,6
1.3708758565443402,96,97,41,7
2.1403979226936567,94,95,56,5
4.4947058517551328,96,97,49,3
2.9095177137314741,96,96,54,2
5.8891077617652794,94,94,41,6
5.2609649408731558,94,94,51,0
5.7683598159508849,92,93,57,7
5.3018867072508975,92,92,44,6
2.1225466793042589,92,93,46,0
3.4747828446014846,96,96,57,5
3.1992987119472351,94,95,54,3
5.6570518388395978,96,96,49,5
5.5034501080323270,94,95,44,7
5.6113606753804062,98,99,59,6
0.9963815293309829,98,98,53,2
1.1961626946288884,92,92,46,0
4.0727484047564566,94,95,45,2
4.1110867439750782,96,97,36,2
0.4806313773903129,96,97,47,3
0.4244797423749835,96,96,51,5
4.1229154720858885,90,91,47,0
0.7987450237340135,96,97,47,7
2.2062171222391052,90,90,45,4
5.2222837980408485,92,92,53,1
2.3179178241122327,92,93,51,7
2.9736959452698666,92,93,48,4
2.1493390456610908,94,95,44,5
5.1736610237456864,94,94,42,1
6.2372623669193672,92,92,44,6
2.3942867939330323,90,91,39,0
2.4816912566650271,90,90,56,7
2.5150184755344478,98,98,50,7
1.5715682431705678,92,92,45,7
4.3119163481182508,94,94,44,1
2.2528160804010531,94,94,56,1
3.1669772015763091,94,94,44,5
6.2026742123570591,96,97,53,5
1.1893223318213511,96,97,54,0
1.0619165919609115,96,97,66,6
4.5102174242164628,92,92,55,5
3.7584614988024776,94,95,50,7
2.0535420150686772,96,97,54,4
2.0575732571673324,96,97,54,6
3.5478511862033439,90,91,51,0
2.1110587582538702,94,95,54,7
4.8826156904303710,96,96,49,3
5.0746597340755892,96,97,62,0
1.6923198018862473,96,97,60,0
0.4264961184191355,90,91,51,0
3.8941559617567676,94,95,48,7
4.7905910038473634,94,94,49,2
5.9238432011303521,88,89,40,0
1.9837457740483908,96,97,53,5
5.6799761128016018,94,95,47,6
0.5826708421538928,96,97,45,5
1.0856415581753946,92,93,46,2
1.8074432799987983,96,97,49,5
2.0425187473431565,94,94,50,3
5.3931351621785000,88,89,45,5
2.1365391552416462,94,95,50,5
2.6901009549994943,94,95,47,4
2.9437115087023362,94,94,39,0
5.1676835768316201,94,94,42,7
2.5666144052809186,94,95,41,6
0.1974621781060194,96,97,49,7
4.2097426959214319,96,97,50,2
4.3472512629452069,96,97,45,5
4.7744835997442152,92,92,41,1
4.5939948857353841,94,95,43,2
5.1230652875868783,94,95,46,5
3.0009147571062287,94,95,52,3
2.2518066793726090,94,94,53,2
6.0566925041622621,92,93,44,2
3.6818906425735154,96,97,49,1
1.6650164805375611,96,97,54,4
2.3904316296018835,96,96,51,7
1.8045236097499078,96,96,55,7
4.1372392859830702,94,94,54,1
4.5444755127671241,94,95,56,3
4.6147115848246782,94,95,51,0
1.0282747694322243,94,95,59,0
4.8699621814924265,94,95,57,4
2.2762803988574514,94,94,50,7
4.9825664772293372,94,95,48,7
4.2506655219697889,96,97,47,5
1.0686347284204347,96,96,61,5
3.9853791446173834,94,95,50,7
0.6626019777788853,92,92,55,5
3.2121480560841196,94,95,47,2
3.6551754481028662,94,95,50,7
0.7207950032449935,96,97,53,5
4.7806043556271334,96,97,56,0
4.8426171359257468,96,96,50,6
3.2844119567569741,96,96,47,7
5.3262552971276031,96,96,50,6
6.2012994116949445,92,92,48,6
4.2534818269656522,94,94,46,5
3.3753477209630054,94,95,41,0
2.3290181917405510,90,90,43,6
2.8753423466386892,96,97,55,3
3.1222459688076283,92,93,42,2
0.4253196882278789,94,94,57,0
4.9675587451348235,94,95,46,3
1.3652740768236868,94,95,40,3
1.5956844497411677,96,96,47,5
0.2363269152815058,92,93,44,0
1.8564598908890479,94,95,55,6
3.0551069724606323,96,97,50,4
3.8752705639611724,94,94,58,3
5.5312935527661660,94,94,53,0
2.7375855496826631,96,97,44,4
0.9768704561236480,94,95,42,3
5.9101345320477208,94,95,42,1
1.6280920280905129,92,93,39,5
1.9947535866380275,96,96,46,2
5.0860772565348862,94,94,43,4
4.7745966084235603,94,95,56,1
3.8740103428814621,94,94,44,1
