theta,t_count,h_count,s_count,w_count
5.9746492017135404,94,95,45,4
5.7762225536716016,92,93,43,5
1.6690695994132987,96,97,49,3
3.3969127032789959,98,98,51,6
5.2353629940681117,96,97,45,7
1.4701875268816051,94,95,47,0
3.3218611386070616,96,97,48,2
0.6043936663639976,98,99,49,6
1.6344761571748061,92,93,57,7
0.8715594795571578,90,90,46,5
0.3893590201347995,94,95,44,5
0.3755348696444416,94,95,45,0
2.0534871422977048,94,95,58,1
1.6356470821537916,96,97,43,1
2.6987875202254985,94,94,49,0
1.8290262319643535,94,95,48,7
3.7464993883305024,96,96,36,2
0.8999100180396927,96,97,54,6
4.4829246355944647,96,97,47,3
4.9952002822467039,94,95,52,5
4.4301551856430716,94,94,56,5
0.5012510520551013,96,96,45,5
5.0558353767509940,96,97,48,4
3.6410993984799278,90,90,41,6
0.8917477771984671,96,96,45,3
5.7865266440964200,98,98,54,3
4.4910607642746401,96,97,49,3
0.7298679466383912,96,96,49,5
0.1784006019963265,96,97,47,7
5.8857792874111370,90,90,45,0
0.4699707745735306,94,95,50,5
2.3424610476175740,96,97,44,6
5.4330294762940081,96,97,56,6
0.1644248998284429,98,98,41,4
3.5168779414011198,100,101,52,6
5.6222963168763354,98,98,39,4
1.2865745008276708,94,95,54,3
1.8350484531704288,96,96,51,7
0.7198318033541755,96,97,53,7
2.8347762444325659,96,97,49,3
5.8106944980547786,96,97,50,2
4.0018467205621491,96,97,41,1
1.6308020447981031,96,97,43,7
6.1460320307201073,98,99,47,2
4.8624848216931218,94,95,44,1
4.0355755145615886,96,96,50,4
5.8990241295182964,94,94,52,7
5.3535321658527657,94,94,50,1
0.8168402882187437,98,98,52,1
1.8809384655158761,92,93,59,1
6.0318637418541323,98,99,57,6
3.0264334575644205,96,96,57,5
0.3192169526764057,94,95,48,1
3.2310355191834019,94,95,50,5
2.4458761615984277,94,94,46,1
5.5595945829014521,94,95,50,7
5.9650266835171877,94,95,51,2
3.5948176819774833,96,97,46,2
6.1419803173349710,96,97,53,5
2.7204335966611479,92,93,48,0
5.1750029917258429,94,95,36,5
2.1459783813611728,98,99,52,7
1.9768617179324199,98,99,58,3
2.7471472126846459,94,95,53,0
3.3645087923040968,96,97,53,5
1.4571082955287278,94,95,50,3
6.1223901537134084,94,95,54,5
1.1972518460918000,94,94,51,0
1.3046580928804641,96,97,44,2
0.4548243662630537,98,99,43,0
3.0342384109148441,94,95,45,0
0.1666009597164704,96,96,48,0
1.0854621254790238,96,96,49,7
2.0722008693236615,94,95,48,1
5.9180219694590201,96,97,47,5
2.2064649405985182,96,96,52,0
1.3543478027984832,94,94,45,2
0.7438082624423974,94,95,44,3
2.9385658105860974,98,99,55,0
6.0228761797670662,98,99,58,3
2.9768144922886965,94,95,48,7
6.0312891000293920,92,92,50,4
2.7972585337943614,96,96,54,2
3.4446145027966306,98,98,53,4
5.4561808719164464,94,95,60,1
1.5098834703642148,94,95,51,6
3.5504350986929634,98,99,52,3
1.0627198171667851,96,97,51,5
5.3992625799917882,96,96,50,4
4.9116826580467619,96,97,51,5
3.0113263840673246,96,97,44,2
4.3316555428901191,94,95,44,1
0.8777080980458332,92,93,43,5
0.0525947879039081,94,94,45,6
2.4321222865158325,96,97,55,1
5.0407790432789792,94,95,56,3
3.6205586415188011,96,96,49,3
3.7659658829117668,96,96,54,0
5.3667082443704262,96,97,50,0
4.0479162859768962,96,97,56,6
3.0627031251276629,96,96,48,2
0.6762805333771503,96,96,43,5
5.9611351955367580,94,95,54,7
3.5677504789451344,96,97,47,7
4.4973106859889045,96,97,41,3
0.5828428855416574,94,95,44,3
2.9636274274790746,96,97,56,0
2.7558566033543093,96,96,47,7
5.1808995591521434,96,97,59,5
5.9726516458771091,92,92,44,2
4.2684135717188232,92,92,46,2
0.2379032754713684,96,96,56,6
4.1783019932733314,98,99,55,4
0.8510422305374540,94,95,44,7
4.1412939380791647,102,103,56,3
1.6609678524668567,94,94,50,7
4.1376302084221166,96,97,55,3
2.6304691260710222,96,96,54,2
1.3993709545708917,96,97,47,7
2.0703376358972352,96,96,41,5
0.2526186339805147,96,97,56,6
2.4364928096179379,96,96,46,2
2.7809381201077534,96,97,43,1
1.2473077674483302,96,97,62,4
5.3357257836063132,96,97,56,0
2.9636948883116321,94,95,49,0
4.5102330086254296,94,95,43,6
6.0555954771380138,96,97,44,4
5.1642454224739680,92,93,42,2
1.9487824457796672,92,92,54,6
0.1237426675711158,96,96,40,6
2.1372417466397322,94,94,52,7
4.5231090801422074,86,86,51,6
0.5668639284368417,94,95,55,0
5.6954639715493576,96,96,46,4
5.1625829517732651,92,93,41,3
5.2616072141885297,96,96,55,1
3.6942288289202092,92,92,50,0
1.1302253934165567,96,97,50,0
1.5459729097863477,94,94,46,5
3.8878931225637632,96,97,54,0
1.9163707319448791,92,93,48,0
3.5492843026923993,94,94,43,6
4.4212293773205529,96,96,54,2
3.2716288097598905,94,95,51,4
2.8777201348523476,94,94,53,2
3.7124091042254443,94,95,49,6
5.1954511169998385,96,97,58,0
4.3650223747801453,94,95,49,2
4.1544755741013484,94,95,49,2
3.9729990204034915,96,97,44,2
0.1386552163471490,96,96,44,6
4.7712356220391552,94,95,48,7
0.5697576362428204,94,94,50,7
1.6928097177399606,96,97,44,2
3.5189636742617147,94,95,53,6
0.7277226312871509,94,94,54,1
2.0014561425862243,96,97,45,7
2.5915391100988652,96,96,48,2
0.4353577177052652,96,96,50,0
5.1090769772570308,96,97,46,6
1.6220826473053331,96,97,47,7
2.1575717114650375,96,97,49,5
2.7622359717948659,98,98,55,2
5.4052511810180972,94,95,47,0
0.7379129622612995,94,95,60,5
1.8597563687934269,94,94,51,0
1.6535105544346649,98,99,54,3
1.2479104601099347,96,96,46,0
0.1947136150126508,94,95,50,7
1.5378728270574140,92,92,50,2
5.8901785091474235,94,95,43,2
1.3135658384286983,94,95,50,3
0.6511316653718070,92,93,54,0
3.7740228126154340,96,97,51,3
3.6163335142664605,96,97,59,7
5.7093799931217797,94,95,54,7
0.4140444585967150,94,95,48,3
3.4305212383193937,90,90,48,3
4.8989081001702752,92,93,49,5
2.9923767421205949,96,96,50,4
0.9550899066388188,94,95,44,5
3.5072040879090904,94,95,51,0
4.0252414649988326,92,93,44,6
3.7311437176111810,96,96,54,0
2.5928487265750664,94,94,60,5
3.6265568627036715,94,94,53,6
1.3326676518918394,96,96,48,6
5.6238712569992000,96,97,52,4
1.9347317250655287,94,94,42,7
5.7541487640758149,94,95,43,2
0.1288653887547409,94,95,44,1
4.4777142813773949,100,101,54,2
4.3850126795932924,96,97,51,3
0.7022598178206173,96,96,47,5
0.2403164410762896,88,89,44,4
4.2728080800094599,96,96,44,2
2.9678903063378987,94,95,48,3
2.5712349188865744,94,95,47,6
0.8662199695128248,96,97,51,1
1.8414509180424037,94,95,46,7
4.2109099324803383,94,95,51,4
4.2441548139990024,98,99,41,2
2.8183221502544091,96,97,44,4
0.6056591478673388,94,95,41,2
1.2116305358025907,96,97,52,2
3.1562425006256181,96,96,55,5
0.7968002438327942,96,96,58,0
5.1865388966170105,94,95,54,5
1.7435125888581067,98,98,52,7
5.2061979295654091,94,95,54,3
3.2098978702080982,94,95,53,0
0.5962053038828782,94,95,52,3
5.1706780001017272,94,94,45,6
0.9558387867341958,96,97,53,3
2.6145128798279194,96,97,59,5
2.9475804116751743,96,97,45,1
3.6526121770294524,94,95,57,2
5.3060590373385832,94,95,45,2
4.2552684841023698,96,97,48,6
3.3324553315778411,96,97,56,0
1.0354420248690883,96,96,56,4
6.2332309062589610,90,91,47,6
5.4691589114911343,94,94,51,2
6.0134245827691952,94,94,50,1
5.9374993967208782,94,94,44,5
2.7530855819053746,100,101,49,1
4.6364575050828103,96,97,47,1
5.8394668741279396,94,94,41,4
1.4738326310814800,96,97,48,4
4.1068851241552444,94,95,54,5
5.0237555068477171,94,95,51,0
5.6181656563762905,98,99,62,1
5.9751102743345337,96,97,60,6
1.6220835411318399,96,97,51,1
0.3326375003115871,96,97,55,5
1.6515435822606088,94,94,53,6
2.2298228906170281,92,93,49,3
5.7652308790252143,96,96,51,5
5.0047236409516360,96,96,49,1
6.0400283395667902,92,92,45,1
2.4474838727546162,94,94,46,7
2.6902267751447457,96,97,55,3
2.1041560846821725,92,92,52,6
3.0566699289842942,90,91,51,6
4.6644707131862999,96,97,39,3
0.7738334050254012,92,93,53,7
2.8021203738990619,92,92,50,6
1.8898140436139774,94,95,40,7
3.8558747011190126,94,95,45,2
3.0891616833762026,94,95,53,4
2.1139853493030949,98,99,54,3
1.2445251686684027,92,93,48,0
2.2669978391310952,94,95,56,7
4.7401594231675253,94,94,46,7
3.2084354938792727,92,92,45,1
5.0459324620327699,96,97,43,3
5.9410423007832147,96,97,55,5
3.4900948668810869,94,95,57,6
2.6125570401155906,94,94,45,2
1.8922195281777701,94,95,42,1
3.9541451314047649,96,97,51,7
3.3422949478096196,96,97,48,2
1.2484921858732767,94,95,43,6
5.1743593226975397,96,97,55,3
4.5448860819010486,92,93,47,3
5.0695119790368954,96,97,52,0
2.8263470855471482,96,97,60,2
3.5955573200588589,94,95,47,2
0.6437079405807457,94,95,51,6
4.3222760848116542,96,96,52,6
1.3488382708981108,96,96,60,2
0.1891415957822070,96,97,61,3
2.5180454319502132,96,96,49,3
1.6039781084196294,94,94,45,2
5.8611672054512010,90,91,37,2
5.2637127279147409,92,93,54,0
4.0485375265444290,96,96,48,2
4.7796332972283189,96,96,48,2
1.0028279497716033,92,92,43,1
1.5653498972040614,96,97,46,4
3.5677984838030659,94,94,53,2
0.3432178920575639,96,96,49,7
6.0682585154159119,96,97,49,3
4.7782417129598240,96,97,52,6
0.3185877410775783,94,95,44,5
4.0802658317900118,90,90,44,1
5.0232215991392737,94,94,44,7
3.2711922248757133,96,97,60,0
4.2254920357741828,94,95,52,7
0.3193571531247246,96,97,48,0
1.9628494446039630,94,95,53,6
4.9688984398678464,94,95,48,7
5.3210043479399234,94,95,51,2
4.0276002873842565,92,93,35,5
5.8980686843297274,94,95,53,2
5.8193380580510761,94,95,52,3
3.6448775106129512,104,105,48,2
2.0926525547577040,96,97,48,2
4.7076411565186858,94,95,49,6
3.6826861567649756,96,97,51,3
4.5890052198050286,96,96,55,7
4.4060721400304139,94,95,40,7
3.2232643391786815,96,97,52,4
2.7982947263921862,92,93,47,3
2.1167603027094493,98,99,49,0
4.0874918015259132,98,99,51,2
4.8099713626197955,96,97,50,0
3.1274495938598670,96,97,56,4
0.6020787032601027,94,94,55,6
